title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; BetaseronRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Betaseron<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biologic product.",59 FR 305,94-36,https://www.federalregister.gov/documents/1994/01/04/94-36/determination-of-regulatory-review-period-for-purposes-of-patent-extension-betaseronregister,,1994-01-04, BetaseronRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ImagentRegister GI,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Imagent<Register> GI and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-4802,https://www.federalregister.gov/documents/1994/03/03/94-4802/determination-of-regulatory-review-period-for-purposes-of-patent-extension-imagentregister-gi,,1994-03-03, ImagentRegister GI,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PirsueSUPTM Aqueous Gel,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Pirsue<SUP>TM Aqueous Gel and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-4801,https://www.federalregister.gov/documents/1994/03/03/94-4801/determination-of-regulatory-review-period-for-purposes-of-patent-extension-pirsuesuptm-aqueous-gel,,1994-03-03, PirsueSUPTM Aqueous Gel,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SporanoxRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Sporanox<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-5635,https://www.federalregister.gov/documents/1994/03/11/94-5635/determination-of-regulatory-review-period-for-purposes-of-patent-extension-sporanoxregister,,1994-03-11, SporanoxRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PRO OSTEONSUPTM Implant 500 Coralline Hydroxyapatite Bone Void Filler,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for PRO OSTEON<SUP>TM Implant 500 Coralline Hydroxyapatite Bone Void Filler and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-5672,https://www.federalregister.gov/documents/1994/03/11/94-5672/determination-of-regulatory-review-period-for-purposes-of-patent-extension-pro-osteonsuptm-implant,,1994-03-11, PRO OSTEONSUPTM Implant 500 Coralline Hydroxyapatite Bone Void Filler,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SupprelinRegister; Correction,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting a notice that appeared in the Federal Register of June 2, 1992 (57 FR 23237), that announced its determination of the regulatory review period for purposes of patent extension for Supprelin<Register> (histrelin acetate). The document was published with some mathematical errors. The document incorrectly stated, ``FDA has determined that the applicable regulatory review period for Supprelin<Register> is 2,876 days. Of this time, 1,930 days occurred during the testing phase of the regulatory review period, while 946 days occurred during the approval phase.'' It should have stated, ``FDA has determined that the applicable regulatory review period for Supprelin<Register> is 2,878 days. Of this time, 1,931 days occurred during the testing phase of the regulatory review period, while 947 days occurred during the approval phase.'' This document corrects those errors.",,94-9047,https://www.federalregister.gov/documents/1994/04/14/94-9047/determination-of-regulatory-review-period-for-purposes-of-patent-extension-supprelinregister,,1994-04-14, SupprelinRegister, Correction,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MycobutinSUPTM,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Mycobutin<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-9099,https://www.federalregister.gov/documents/1994/04/15/94-9099/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mycobutinsuptm,,1994-04-15, MycobutinSUPTM,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MycobutinSUPTM; Correction,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting a notice that appeared in the Federal Register of April 15, 1994 (59 FR 18133), that announced its determination of the regulatory review period for purposes of patent extension for Mycobutin<SUP>TM (rifabutin). The document was published with some mathematical errors. The document incorrectly stated, ``FDA has determined that the applicable regulatory review period for Mycobutin<SUP>TM is 2,831 days. Of this time, 2,124 days occurred during the testing phase of the regulatory review period, while 707 days occurred during the approval phase.'' It should have stated, ``FDA has determined that the applicable regulatory review period for Mycobutin<SUP>TM is 2,469 days. Of this time, 2,127 days occurred during the testing phase of the regulatory review period, while 342 days occurred during the approval phase.'' This document corrects those errors.",,94-14446,https://www.federalregister.gov/documents/1994/06/14/94-14446/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mycobutinsuptm-correction,,1994-06-14, MycobutinSUPTM, Correction,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RealitySUPTM Female Condom,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Reality<SUP>TM Female Condom and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-14445,https://www.federalregister.gov/documents/1994/06/14/94-14445/determination-of-regulatory-review-period-for-purposes-of-patent-extension-realitysuptm-female,,1994-06-14, RealitySUPTM Female Condom,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AceonSUPTM,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aceon<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-17737,https://www.federalregister.gov/documents/1994/07/21/94-17737/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aceonsuptm,,1994-07-21, AceonSUPTM,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; DemadexSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Demadex<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-17738,https://www.federalregister.gov/documents/1994/07/21/94-17738/determination-of-regulatory-review-period-for-purposes-of-patent-extension-demadexsuptm,,1994-07-21, DemadexSUPTM,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CattlystRegister 50 Type A Medicated Article,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Cattlyst<Register> 50 Type A Medicated Article and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-17814,https://www.federalregister.gov/documents/1994/07/22/94-17814/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cattlystregister-50-type,,1994-07-22, CattlystRegister 50 Type A Medicated Article,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; DovonexRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Dovonex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21156,https://www.federalregister.gov/documents/1994/08/29/94-21156/determination-of-regulatory-review-period-for-purposes-of-patent-extension-dovonexregister,,1994-08-29, DovonexRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; EffexorRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Effexor<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21287,https://www.federalregister.gov/documents/1994/08/30/94-21287/determination-of-regulatory-review-period-for-purposes-of-patent-extension-effexorregister,,1994-08-30, EffexorRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; KytrilSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Kytril<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21282,https://www.federalregister.gov/documents/1994/08/30/94-21282/determination-of-regulatory-review-period-for-purposes-of-patent-extension-kytrilsuptm,,1994-08-30, KytrilSUPTM,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LipidilRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Lipidil<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21285,https://www.federalregister.gov/documents/1994/08/30/94-21285/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lipidilregister,,1994-08-30, LipidilRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LivostinRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Livostin<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21283,https://www.federalregister.gov/documents/1994/08/30/94-21283/determination-of-regulatory-review-period-for-purposes-of-patent-extension-livostinregister,,1994-08-30, LivostinRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeurontinRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neurontin<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21288,https://www.federalregister.gov/documents/1994/08/30/94-21288/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neurontinregister,,1994-08-30, NeurontinRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeutrexinSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neutrexin<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21280,https://www.federalregister.gov/documents/1994/08/30/94-21280/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neutrexinsuptm,,1994-08-30, NeutrexinSUPTM,,n/a,,,,,,,,,,,
