document_id,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat term ext
00-1871,"ZiagenTM
                     (abacavir","5,034,394","Glaxo Wellcome, Inc",1632,1455,177,,,"December 17, 1998","the new drug application (NDA) for ZiagenTM
                     (NDA 20-977)",906
00-1874,"VitraveneTM
                     (fomivirsen sodium","4,689,320","Isis Pharmaceuticals, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1738,1598,140,,,"August 26, 1998",NDA 30-961,954
00-1875,"AzoptTM
                     (brinzolamide","5,378,703","Alcon Laboratories, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2049,1620,429,,,"April 1, 1998","the new drug application (NDA) for AzoptTM
                     (NDA 20-816)",579
00-1865,"Maxalt
                    ®
                     (rizatriptan benzoate","5,298,520",Merck & Co,2099,1734,365,"October 1, 1992",,"June 29, 1998",the date the investigational new drug application became effective,153
00-1868,"Plavix
                    ®
                     (clopidogrel bisulfate","4,847,265","Sanofi Pharmaceuticals, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2755,2551,204,"May 5, 1990",,"November 17, 1997",the date the investigational new drug application became effective,1374
00-1870,"Refludan
                    ®
                     (lepirudin","5,180,668","Hoechst AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1149,718,431,"January 14, 1995",,"March 6, 1998",the date the investigational new drug application became effective,777
00-1867,"Arava
                    ®
                     (leflunomide","4,284,786","Hoechst Aktiengesellschaft, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2032,1908,124,,,"September 10, 1998","the new drug application (NDA) for Arava
                    ®
                     (NDA 20-905)",1110
00-1872,"GlucaGen
                    ®
                     (glucagon (rDNA origin","4,826,763","Novo Nordisk A/S, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2569,2296,273,,,"June 22, 1998",NDA 20-918,1423
00-1873,,"5,405,363",Angieon Corp,200020101030,603,427,,,"August 19, 1998","the premarket approval application (PMA) for Sentinel Model 2000/2010
                    ®
                     (PMA P970024)",132
00-2030,Teslascan (magnafodipir trisodium,"4,933,456","Nycomed Salutar, Inc",3129,2325,804,,,"November 26, 1997",NDA 20-652,
00-2031,,"4,762,710","Amvax, Inc",2578,1542,1036,,,"July 29, 1998","the product license application (PLA) for CertivaTM
                     (PLA 95-1529)",1826
00-2032,,"4,834,757","DePuy AcroMed, Inc",2631,1708,923,,,"February 2, 1999","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective November 22, 1991.
                

                    2. 
                    The date the application",1776
00-2243,,"4,704,275",American Home Products Corp,3804,3226,578,"April 3, 1988",,"August 31, 1998",the date the investigational new drug application became effective,1826
00-2149,,"4,485,088","Alaco, Inc",5845,5734,111,,,"June 10, 1998",NADA 141-107,1825
00-3172,,"4,954,126",Boston Scientific Corp,1533,1351,182,,,"September 29, 1998","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective July 21, 1994.
2. The date the application",857
00-12117,,,,,1730,1507,,,,,1761
01-681,,"4,713,448","Biomatrix, Inc",2047134482949,1783,1166,,,"August 8, 1997","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective July 14, 1989. 
                

                    2. 
                    The date the application",396
