title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Number of Patents,Count,Assignment,Patent No.,Patent Issued,Patent Owner,Patent Extended Period (days),Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext,row_identifier,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Proprietary Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation
Determination of Regulatory Review Period for Purposes of Patent Extension; BetaseronRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Betaseron<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biologic product.",59 FR 305,94-36,https://www.federalregister.gov/documents/1994/01/04/94-36/determination-of-regulatory-review-period-for-purposes-of-patent-extension-betaseronregister,,1/4/1994, BetaseronRegister,,,Betaseron<Register>,1,1,Anthony,4588585,n/a,n/a,1516,the Cetus Oncology Corp.,3720,3319,401,1983-05-19,1983-05-19,1993-07-23,PLA 92-0495,1500,920495,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ImagentRegister GI,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Imagent<Register> GI and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-4802,https://www.federalregister.gov/documents/1994/03/03/94-4802/determination-of-regulatory-review-period-for-purposes-of-patent-extension-imagentregister-gi,,3/3/1994, ImagentRegister GI,,,Imagent<Register> GI,1,2,Anthony,3975512,n/a,,,the Board of Trustees of the University of Illinois,7493,6469,1024,1973-02-08,1973-02-08,1993-08-13,NDA 20-091,730,20091,,,,,,,,,,,Imagent GI,perflubron,Alliance,NDA,20091,,1990-10-25,1993-08-13,1993,Indicated for use with magnetic resonance imaging to enhance the delineation of the bowel in order to distinguish it from adjacent organs and areas of suspected pathology,,Priority,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PirsueSUPTM Aqueous Gel,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Pirsue<SUP>TM Aqueous Gel and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-4801,https://www.federalregister.gov/documents/1994/03/03/94-4801/determination-of-regulatory-review-period-for-purposes-of-patent-extension-pirsuesuptm-aqueous-gel,,3/3/1994, PirsueSUPTM Aqueous Gel,,,Pirsue<SUP>TM Aqueous Gel,1,3,Anthony,3975512,n/a,,,The Upjohn Co.,3860,3778,82,1983-02-17,1993-09-10,1993-09-10,NADA 141-036,1095,141036,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SporanoxRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Sporanox<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-5635,https://www.federalregister.gov/documents/1994/03/11/94-5635/determination-of-regulatory-review-period-for-purposes-of-patent-extension-sporanoxregister,,3/11/1994, SporanoxRegister,,,Sporanox<Register>,1,4,Anthony,4267179,1981-05-12,Janssen Pharmaceutica N.V.,2 years,Janssen Pharmaceutica N.V.,2990,2155,835,1984-07-07,1984-07-07,1992-09-11,NDA 20-,1510,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PRO OSTEONSUPTM Implant 500 Coralline Hydroxyapatite Bone Void Filler,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for PRO OSTEON<SUP>TM Implant 500 Coralline Hydroxyapatite Bone Void Filler and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-5672,https://www.federalregister.gov/documents/1994/03/11/94-5672/determination-of-regulatory-review-period-for-purposes-of-patent-extension-pro-osteonsuptm-implant,,3/11/1994, PRO OSTEONSUPTM Implant 500 Coralline Hydroxyapatite Bone Void Filler,,,the PRO OSTEON<SUP>TM Implant 500 Coralline Hydroxyapatite Bone Void Filler,1,5,Anthony,3929971,n/a,,,Research Corp. Technologies,3774,2049,1725,1982-07-02,1982-07-02,1992-10-29,PMA P860005,730,860005,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SupprelinRegister; Correction,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting a notice that appeared in the Federal Register of June 2, 1992 (57 FR 23237), that announced its determination of the regulatory review period for purposes of patent extension for Supprelin<Register> (histrelin acetate). The document was published with some mathematical errors. The document incorrectly stated, ``FDA has determined that the applicable regulatory review period for Supprelin<Register> is 2,876 days. Of this time, 1,930 days occurred during the testing phase of the regulatory review period, while 946 days occurred during the approval phase.'' It should have stated, ``FDA has determined that the applicable regulatory review period for Supprelin<Register> is 2,878 days. Of this time, 1,931 days occurred during the testing phase of the regulatory review period, while 947 days occurred during the approval phase.'' This document corrects those errors.",,94-9047,https://www.federalregister.gov/documents/1994/04/14/94-9047/determination-of-regulatory-review-period-for-purposes-of-patent-extension-supprelinregister,,4/14/1994, SupprelinRegister, Correction,,,0,5,Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MycobutinSUPTM,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Mycobutin<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-9099,https://www.federalregister.gov/documents/1994/04/15/94-9099/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mycobutinsuptm,,4/15/1994, MycobutinSUPTM,,,Mycobutin<SUP>TM,1,6,Anthony,4219478,n/a,Farmitalia Carlo Erba S.r.l.,1406,Adria Laboratories,2831,2124,707,1986-03-23,1986-03-23,1992-12-23,NDA 50-689,1392,50689,,,,,,,,,,,Mycobutin,rifabutin,Adria,NDA,50689,,1992-01-17,1992-12-23,1992,prevention of disseminated Mycobacterium avium complex (MAC) disease in patients with advanced HIV infection,,Priority,Yes,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MycobutinSUPTM; Correction,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting a notice that appeared in the Federal Register of April 15, 1994 (59 FR 18133), that announced its determination of the regulatory review period for purposes of patent extension for Mycobutin<SUP>TM (rifabutin). The document was published with some mathematical errors. The document incorrectly stated, ``FDA has determined that the applicable regulatory review period for Mycobutin<SUP>TM is 2,831 days. Of this time, 2,124 days occurred during the testing phase of the regulatory review period, while 707 days occurred during the approval phase.'' It should have stated, ``FDA has determined that the applicable regulatory review period for Mycobutin<SUP>TM is 2,469 days. Of this time, 2,127 days occurred during the testing phase of the regulatory review period, while 342 days occurred during the approval phase.'' This document corrects those errors.",,94-14446,https://www.federalregister.gov/documents/1994/06/14/94-14446/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mycobutinsuptm-correction,,6/14/1994, MycobutinSUPTM, Correction,,,0,6,Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RealitySUPTM Female Condom,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Reality<SUP>TM Female Condom and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-14445,https://www.federalregister.gov/documents/1994/06/14/94-14445/determination-of-regulatory-review-period-for-purposes-of-patent-extension-realitysuptm-female,,6/14/1994, RealitySUPTM Female Condom,,,the Reality<SUP>TM Female Condom,1,7,Anthony,4735621,1988-04-05,dismissed,,Chartex International Plc,2017,1460,557,1987-10-31,1991-10-29,1993-05-07,PMA P910064,762,910064,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AceonSUPTM,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aceon<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-17737,https://www.federalregister.gov/documents/1994/07/21/94-17737/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aceonsuptm,,7/21/1994, AceonSUPTM,,,Aceon<SUP>TM,1,8,Anthony,4508729,1985-04-02,Adir,1601,Adir,2284,1367,917,1987-10-01,1987-10-01,1993-12-30,NDA 20-184,1588,20184,,,,,,,,,,,Aceon,perindopril erbumine,RW Johnson Pharmaceutical Development,NDA,20184,,1991-06-28,1993-12-30,1993,treatment of patients with essential hypertension,,Standard,No,No,,
